projectIdentifier,programArea,programFy,region,state,stateNumberCode,county,countyCode,disasterNumber,projectCounties,projectType,status,recipient,recipientTribalIndicator,subrecipient,subrecipientTribalIndicator,dataSource,dateApproved,dateClosed,dateInitiallyApproved,projectAmount,initialObligationDate,initialObligationAmount,federalShareObligated,subrecipientAdminCostAmt,srmcObligatedAmt,recipientAdminCostAmt,costSharePercentage,benefitCostRatio,netValueBenefits,numberOfFinalProperties,numberOfProperties,id
DR-1203-113-R,HMGP,1998,9,California,6,Sonoma,97,1203.0,SONOMA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Sonoma County,,HMGP-Historical,1998-10-29T00:00:00.000Z,2000-04-25T00:00:00.000Z,,1013229.0,,,759922.0,,,,0.75,1.0,1015896.0,5,5,8b029100-249e-4781-bac4-a823be02ca62
DR-1203-115-R,HMGP,1998,9,California,6,Sonoma,97,1203.0,SONOMA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Sonoma County - General Services,,HMGP-Historical,1998-11-02T00:00:00.000Z,2000-02-29T00:00:00.000Z,,3004666.0,,,2253499.0,,,,0.75,1.0,2682393.0,41,41,f1d4fe9c-b009-478a-aced-ef37723ab532
DR-1203-112-R,HMGP,1998,9,California,6,Sonoma,97,1203.0,SONOMA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Sonoma County,,HMGP-Historical,1998-10-29T00:00:00.000Z,2000-02-29T00:00:00.000Z,,249648.0,,,187236.0,,,,0.75,1.0,397488.0,2,2,740ed9f2-054e-4e13-baa6-5045c8f105fe
DR-1203-114-R,HMGP,1998,9,California,6,Sonoma,97,1203.0,SONOMA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Sonoma County - General Services,,HMGP-Historical,1998-10-29T00:00:00.000Z,2000-02-29T00:00:00.000Z,,194775.0,,,146081.0,,,,0.75,1.0,194775.0,2,2,bc9da9f4-49a8-4499-8fd8-eb9287dac806
DR-4407-0128,HMGP,2019,9,California,6,Sacramento,67,4407.0,SACRAMENTO,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Pending,Statewide,False,Sacramento (County),False,HMGP,,,,1426350.0,,,,,,,0.75,1.49,2127928.0,0,1,cf7b744a-9201-49e9-8497-40bdc840ecaa
FMA-PJ-09-CA-2019-001,FMA,2019,9,California,6,Sacramento,67,,SACRAMENTO,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,California Governor's Office of Emergency Services (Cal OES),False,Sacramento County,False,eGrants,2021-09-28T00:00:00.000Z,2025-03-19T00:00:00.000Z,2021-09-28T00:00:00.000Z,1426350.0,2021-09-28T00:00:00.000Z,1283715.0,1283715.0,,,,0.9,1.46,2093785.0,1,1,c0a21b6c-accd-45e0-a154-65b4650fd958
PDMC-PJ-09-CA-2003-021,PDM,2003,9,California,6,Sacramento,67,,SACRAMENTO,"200.1: Acquisition of Private Real Property (Structures and Land) - Riverine; 
201.1: Relocation of Private Structures - Riverine; 
202.1: Elevation of Private Structures - Riverine",Closed,Governors Office of Emergency Services,False,Sacramento County Department of Water Resources,False,eGrants,2004-09-03T00:00:00.000Z,2019-12-10T00:00:00.000Z,2004-09-15T00:00:00.000Z,0.0,2004-09-15T00:00:00.000Z,1400267.25,0.0,,,,0.75,8.13,15174129.0,17,17,6d8225fa-7978-423a-888b-ae48ffb3ce38
PDMC-PJ-09-CAIT004-2015-001,PDM,2015,9,California,6,,,,,"200.1: Acquisition of Private Real Property (Structures and Land) - Riverine; 
405.1: Other Minor Flood Control",Not Approved / Denied,Yurok Tribe,True,Yurok Tribe,True,eGrants,,,,277000.0,,,,,,,0.9,1.41,956438.0,14,14,e1912c7a-b94e-424b-a7ca-eb757cf6a6d2
FMA-PJ-09CA-2003001,FMA,2003,9,California,6,,,,,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Void,,,,,FMA,,,,764740.0,,,0.0,,,,1.0,,,0,0,ada79874-70fa-44c4-bf33-10845e3970ec
DR-1155-0007-R,HMGP,1997,9,California,6,Sacramento,67,1155.0,SACRAMENTO,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,Closed,,,Sacramento County Water Agency,,HMGP-Historical,1997-08-12T00:00:00.000Z,2001-01-05T00:00:00.000Z,,2000000.0,,,1500000.0,,,,0.75,2.2,4400000.0,42,42,cbb53ae5-482b-46fd-929d-8ccbb0f4abeb
